Title,Price,Location,URL
"Custom surfboard/skateboard art
Murals or storefront advertising",0,"Nipomo, CA",https://www.facebook.com//marketplace/item/980824523725052/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard funboard longboard surfboards for sale,0,"Los Angeles, CA",https://www.facebook.com//marketplace/item/475149742004066/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard sale surfboards,0,"Los Angeles, CA",https://www.facebook.com//marketplace/item/1701491940703885/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboard sale,0,"Los Angeles, CA",https://www.facebook.com//marketplace/item/506023738544179/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"Repairs, surfboards wetsuits and gear sale or trades welcome lets get it",1,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1148369853106891/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards,1,"Westlake Village, CA",https://www.facebook.com//marketplace/item/1573137786598932/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Haut Surfboards Santa Cruz Short Board,1,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/1380451139309819/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
surfboards for sale,1,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/7996601860408052/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surfboards for sale (see description),1,"Los Osos, CA",https://www.facebook.com//marketplace/item/477583584674121/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Surf Board Sock,5,"Santa Maria, CA",https://www.facebook.com//marketplace/item/811611794410105/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Boogie Boards,5,"Santa Maria, CA",https://www.facebook.com//marketplace/item/470266329205624/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Wave Rebel Vertigo V Boogieboard,15,"San Luis Obispo, CA",https://www.facebook.com//marketplace/item/785614693438614/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
